acct,event_date
80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,87
b8c11db05d00b5ac66be10ffee5f6ce6ef9221c733a4bb68502c7494cc99086d,19
daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,81
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,88
007cf5c98aa4f9f3e444c9cdaca74d0f7542e9a28042012b49a18c24e758d710,117
3cc3d14ff57d2518c18b0352383979bac4c102ae8902056072f87bdb7df5690a,100
fd6da4c149c34652b3e0482bea500e5d65d2f8a05311dd5282ac986c38cf2508,65
82f43d1cccc8b43a6b863a0220941a537afa96dd39e3fafdbb90ea226467fd4c,85
424d3f81f3e4e03b85598bab52cfee8686d5e1e1df5421400b0e4040155445df,32
e251b40448909fac5ebd54dfe04499bdde8568df4a2103f7fff7b474a3060ac3,110
6c5fe94aeef076e9b39ac08ee3dc616288512b084ce131e0e78da071c3757000,99
940d55eea3715a1be984bfeb5a4eb6097049dae22aa29372d4f23eaaff44aafc,62
d2530c5bae3794a074cbe50fa68518ae59ba877cdcd219eb870b0660498801fa,88
0ade250b3c43db1975fc85e3dc17ed6bdf1c6503a390cabfcac2d090ee625c7d,67
e95d3ccc1b93bd73b7f2d763163e6517dbc71ed18e92a8b3a95e539cd10784b8,81
a93c48783e7d77772c67c0dc38d5fe45d3022ff879c74ccd149b66457ab24423,115
156eb4062c22e3ada40867433aba04f82265f93023816366afa5de7dcecac790,80
b5e5f0711587e2476b1ea07672063243ee93c203703b7dbd30dec7886b92230c,108
f267952a0ce031831a7bba98f9aa4a883c8c349d691397d01e30be0436290b9d,71
5bc7a3f5771185b8ec6c738a84ddce3f0cef93eca8e718e944330465e3095a4e,101
8ca4d47cd87fc7aadcab97f8bc396ec71d99db444f9ca9fc36241f3610ef989d,111
1c7a0edfa468ddfe034dd3f6ec590b531dbbbbd7805bbea6c4fbc9dfe9009536,88
38894ef22b215c6a01d8f6cd893f42cb788aaa3109db08e691d205093947c74c,74
0a6740e1cf8a269f24940737cf3927fbe31f2ed09e3039be400e237317ae17ac,37
705edb7ccd02c7ee986819e0a786e93b1e43a99aac83e0eef7da2621349585e6,53
4d9a35a9aaf03cbc896f69ccbc0759a04132883dce27a6dd1bad16b7a0ef6a53,107
10b730b3c70e5bc97e2884f1e56d98c7c9daa0c715d020805bd814e3298611f0,37
