from_acct,from_acct_type,to_acct,to_acct_type,is_self_txn,txn_amt,txn_date,txn_time,currency_type,channel_type
80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,d66ae51046671ae1cfe50f04b2f3da6d28652328ca69665c405e4a0913f85b3e,2,UNK,5,84,13:05:00,TWD,UNK
80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,d66ae51046671ae1cfe50f04b2f3da6d28652328ca69665c405e4a0913f85b3e,2,UNK,5,85,10:55:00,TWD,UNK
219e2289c8476ea9f3a946203ea2ce3544af58d609197861d06f43f635e42ed4,2,80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,UNK,49500,86,13:05:00,TWD,UNK
79e65f376560e0a5becbd8b8c6130c34057201abb154fceb8c81dcb6916af162,2,80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,UNK,30500,86,13:30:00,TWD,UNK
219e2289c8476ea9f3a946203ea2ce3544af58d609197861d06f43f635e42ed4,2,80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,UNK,49500,86,13:10:00,TWD,UNK
80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,118a694d9816ba6afdaa9ed137aabcac8683a5a0cf9dec0a2c7440da45eda77b,2,UNK,5,86,11:30:00,TWD,UNK
9a4980320f5501ca8f0d57f1ae52050828864f5c846cb6fac34516d80d75ff04,2,80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,UNK,9950,86,13:25:00,TWD,UNK
9a4980320f5501ca8f0d57f1ae52050828864f5c846cb6fac34516d80d75ff04,2,80bd1c28b47357a3d37a01835ebb1bed5edf54e791bd3d6b507091e36e25d279,1,UNK,8150,86,13:35:00,TWD,UNK
04f7da26527e1f95b9976208d8456721cbba33a8b2d5d31052abacda351bc6ed,2,b8c11db05d00b5ac66be10ffee5f6ce6ef9221c733a4bb68502c7494cc99086d,1,UNK,13500,19,12:05:00,TWD,UNK
0e7185b88b9e8aa587b878dbe5b0b89e3ea75f4e45af2ecda57bb6fd66c71816,2,b8c11db05d00b5ac66be10ffee5f6ce6ef9221c733a4bb68502c7494cc99086d,1,UNK,27500,19,14:15:00,TWD,UNK
0e7185b88b9e8aa587b878dbe5b0b89e3ea75f4e45af2ecda57bb6fd66c71816,2,b8c11db05d00b5ac66be10ffee5f6ce6ef9221c733a4bb68502c7494cc99086d,1,UNK,23500,19,14:20:00,TWD,UNK
daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,b7e6558679a70e79bbb1602fbb7d0649c5dbfedd6b4663ae8a7d33a8e333f2b6,2,UNK,2650,10,15:00:00,TWD,UNK
daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,da398a62757fe00a9a4de88b1e269ce7ab6b8c6f19d537ac89e421afd049cc37,2,UNK,3550,10,15:00:00,TWD,UNK
daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,da398a62757fe00a9a4de88b1e269ce7ab6b8c6f19d537ac89e421afd049cc37,2,UNK,725,38,12:40:00,TWD,UNK
daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,da398a62757fe00a9a4de88b1e269ce7ab6b8c6f19d537ac89e421afd049cc37,2,UNK,11500,38,11:45:00,TWD,UNK
daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,b7e6558679a70e79bbb1602fbb7d0649c5dbfedd6b4663ae8a7d33a8e333f2b6,2,UNK,2650,38,13:20:00,TWD,UNK
43929b62d2797d0fbe8a3cfd1b0d6ea03c61c0053d89c797b3630f7ef6ce5e5b,2,daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,UNK,22500,81,13:15:00,TWD,UNK
9f44a29499d3e4e7b9ed8eab9a20be304be99bdb0f10f001d787022cb50d03ed,2,daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,UNK,9950,81,13:15:00,TWD,UNK
02ef1fc1a2217e592ce12cac0ceb76a47c288e4eea8b155021b63db890085d41,2,daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,UNK,99500,81,12:50:00,TWD,UNK
9f44a29499d3e4e7b9ed8eab9a20be304be99bdb0f10f001d787022cb50d03ed,2,daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,UNK,9950,81,13:10:00,TWD,UNK
9f44a29499d3e4e7b9ed8eab9a20be304be99bdb0f10f001d787022cb50d03ed,2,daa05c68b290ac3cc522abad400c5304dffba07baa232cc6dadd1682e923eb7e,1,UNK,9950,81,13:10:00,TWD,UNK
07a2927763647e20443cea2520504da33a35d1fdf907452e8e7f053ecec92b00,1,174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,N,28500,5,05:35:00,TWD,04
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,cba13960a35ab42b602822b0a43e69d917e1bba2b197769478c50fb294b7fbf5,2,UNK,1550,8,19:00:00,TWD,03
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,a76b85c7b7e1dbc41ffd610edc7e3429aae74d202b4c216a4a4df95d97e614e3,2,UNK,1450,16,16:45:00,TWD,03
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,2d902b673efcef0ce81bf916628b81dac121e0a2c5fb1068e35b53fadac08dd7,2,UNK,455,24,18:00:00,TWD,03
07a2927763647e20443cea2520504da33a35d1fdf907452e8e7f053ecec92b00,1,174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,N,125000,32,05:30:00,TWD,04
07a2927763647e20443cea2520504da33a35d1fdf907452e8e7f053ecec92b00,1,174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,N,28500,37,05:20:00,TWD,04
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,575aeab2dfc19a62a23e2c8553a9ac1220b5c9ef3511b76c4e917f5e97c523fb,1,Y,1050,45,07:50:00,TWD,03
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,a5bd06cb8cb7963b67588617d8089170feaf504f5032c1d4dc1858f2dd622b9d,1,Y,1550,49,20:35:00,TWD,03
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,575aeab2dfc19a62a23e2c8553a9ac1220b5c9ef3511b76c4e917f5e97c523fb,1,Y,5050,50,20:10:00,TWD,03
174e26ecc9cee56aaaca855c743a106275c58629740a49475d92ed8b4ad4d26c,1,575aeab2dfc19a62a23e2c8553a9ac1220b5c9ef3511b76c4e917f5e97c523fb,1,Y,4550,54,12:10:00,TWD,03
